Name,Rating,Reviews,Address,Latitude,Longitude
Lemon Garden Restaurant & Cafe,4.6,1560,"7GF8+76، شارع وادي المرخ, Doha, Qatar",25.2731989,51.515596
Tawlet Yvonne Doha,4.9,786,"Ground Floor, Millennium Place Doha Building 15, 820 Badr St, Doha, Qatar",25.270349,51.5150611
Pak Pakwan,4.3,1424,"Al Diwan St, Doha, Qatar",25.2857992,51.5232836
Lamazani Grill,4.2,1067,"Al Taei St, Doha, Qatar",25.2799669,51.5369578
Gorkhali Restaurant,4.0,263,"7G9G+RC4, Rawdat Al Khail St, Doha 7G9G+RC4،, شارع روضة الخيل،, Doha, Qatar",25.2695277,51.5259411
Pepper - 24 Hour Fine Dining Restaurant,4.7,81,"Building No. 17 Zone.4, Al Areeq St, Doha, Qatar",25.2803828,51.5300792
Indian Grill House Restaurant,3.3,355,"Doha, Qatar",25.2764501,51.5252225
Delhi Lucknow Restaurant Doha,4.8,9,"zone 16 , 840 street BUilding, 82 Al Wifaq St, Doha, Qatar",25.2805844,51.5390562
804 Restaurant Doha Qatar مطعم ٨٠٤ دوحه قطر,4.7,56,"Street 31, Al Kharajat St, Al-Rayyan, Qatar",25.1919932,51.4471115
Riviera Lounge Doha,4.2,105,"Old Salatah, Al-Saflya Street, Al Corniche, Doha, Qatar",25.2888479,51.5425028
Crave Kitchen Qatar,2.8,13,"Opp. Woqod Petrol Station , Near Duhail Stadium, Doha, Qatar",25.2854473,51.53103979999999
"Baith Maryam Brothers Restaurant, Qatar",4.7,1331,"Souq Waqif, Doha, Qatar",25.2862326,51.5315896
Afaque Shinwari Restaurant,4.6,97,"Building No 33, Street No 980, ابن خلدون،, Doha, Qatar",25.2766505,51.5439936
Famous Restaurant,3.9,343,"7GCQ+32F, Najma, Doha, Qatar",25.2702251,51.5375686
Kopi Kade Qatar Restaurant,3.9,219,"Al Miyah St, Doha, Qatar",25.2817854,51.52210849999999
Salt Doha / سولت الدوحة,3.2,82,"Al Aaliya St, Doha, Qatar",25.2875899,51.5418978
New Doha Darbar Pakistani Restaurant (Doha Branch),4.0,101,"Old al Ghanim street, Street 6, Doha, Qatar",25.2861595,51.5390197
BURGARI,3.9,635,"Hamad International Airport, Doha, Qatar",25.2854473,51.53103979999999
Star Jubilee Restaurant,2.9,64,"13th Street, Doha, Qatar",25.2856822,51.5233241
Sarhad Premium Restaurant مطعم سرحد بريميم,4.8,2792,"Golden Tulip Doha, Al Safliya St, Doha, Qatar",25.2896441,51.5437124
