Name,Rating,Reviews,Address,Latitude,Longitude
Tawlet Yvonne Doha,4.9,786,"Ground Floor, Millennium Place Doha Building 15, 820 Badr St, Doha, Qatar",25.270349,51.5150611
Lemon Garden Restaurant & Cafe,4.6,1560,"7GF8+76، شارع وادي المرخ, Doha, Qatar",25.2731989,51.515596
Twisted Olive & Naama’s Garden,4.8,7714,"برج الدوحة, Doha Tower, 15 Street 910، Doha, Qatar",25.3170351,51.5280535
The Square,4.9,3480,"InterContinental Doha The City, Off Al Wahda Road West Bay, Doha, Qatar",25.326627,51.524846
La Mesa Restaurant,4.8,1418,"Doha, Qatar",25.2992531,51.5540874
Nourlaya,4.7,5312,"Msherieb Down Town، 2، Sahat, Al Kahraba St, Doha, Qatar",25.2856747,51.5244212
Saffron Doha,4.7,208,"Al Khaleej St, Doha, Qatar",25.2856025,51.5171503
Bayt El Talleh Restaurant,4.6,14514,"Katara Hills, Katara Cultural Village, Doha, Qatar",25.3634418,51.5250638
Jamavar Doha,4.5,386,"Al Corniche, Doha, Qatar",25.3185619,51.5369094
Carbone Doha,4.6,861,"al maha island, Lusail, Qatar",25.3983668,51.5279475
Lucia's Doha,4.2,668,"Sheraton Grand Doha Resort & Convention Hotel, Doha, Qatar",25.3176331,51.533773
La Mar Doha by Gastón Acurio,4.7,727,"Bldg. No. 25, Zone، 61 Street 900, Doha, Qatar",25.3493894,51.53122519999999
804 Restaurant Doha Qatar مطعم ٨٠٤ دوحه قطر,4.7,56,"Street 31, Al Kharajat St, Al-Rayyan, Qatar",25.1919932,51.4471115
Novikov Doha Restaurant & Beach Club,4.5,806,"St Regis, Doha, Qatar",25.3497431,51.53111089999999
SMAT Restaurant,4.5,846,"Orient Pearl Restaurant Second Floor, Corniche Doha Near Rass Abu Aboud Signal, Emrair St, Doha, Qatar",25.2898942,51.5476935
Zengo by Chef Richard Sandoval - Doha,4.7,1231,"Kempinski Residences & Suites, Doha, Qatar",25.3286669,51.53107199999999
Riviera Lounge Doha,4.2,105,"Old Salatah, Al-Saflya Street, Al Corniche, Doha, Qatar",25.2888479,51.5425028
TONO Qatar,4.7,352,"6 La Croisette, Doha, Qatar",25.3700426,51.5403646
REBERU Contemporary Cuisine,4.7,1105,"Building 3, Rawdat Al Khail St, Doha, Qatar",25.2856129,51.52668120000001
Jardin Doha,4.3,115,"Al Khaleej St, Doha, Qatar",25.2857714,51.5173089
Sora Rooftop,4.5,358,"Downtown, Sikkat Wadi Msheireb, Doha, Qatar",25.2841396,51.52780569999999
BARON DOHA,4.3,310,"Doha, Qatar",25.3027967,51.5519403
Steak Town,4.7,1969,"8113, 950 Al Reem St, Doha, Qatar",25.2891844,51.51057729999999
Delhi Lucknow Restaurant Doha,4.8,9,"zone 16 , 840 street BUilding, 82 Al Wifaq St, Doha, Qatar",25.2805844,51.5390562
Yasmine Palace Restaurant,4.6,8665,"Parcel 18 Fountain Roundabout Pearl Qatar، Marina Way 31, Doha, Qatar",25.364595,51.5429446
Iksha360,4.5,791,"Abraj Quartier The Pearl, The pearl, Gateway Towers, Doha, Qatar",25.3712902,51.5332107
"Baith Maryam Brothers Restaurant, Qatar",4.7,1331,"Souq Waqif, Doha, Qatar",25.2862326,51.5315896
Sarhad Premium Restaurant مطعم سرحد بريميم,4.8,2792,"Golden Tulip Doha, Al Safliya St, Doha, Qatar",25.2896441,51.5437124
MURU,4.6,162,"Al Shaghiya Street, Doha, Qatar",25.3273238,51.5329505
Mr. & Mrs. Hawker,4.8,170,"Diplomatic Street 23, Zone 61, Doha 3rd Floor, Andaz, Doha, Qatar",25.3247428,51.5370499
Nac Doha,4.4,716,"Building 2, Al Jeewan Street Street 791, Zone 3, Doha, Qatar",25.2840515,51.5263473
