Restaurant,Rating,Reviews,Followers,Posts,EngagementRate,LeadScore,Instagram
Alaturca Turkish Restaurant,4.7,246,0,0,0,5,
Saffron Doha,4.7,208,0,0,0,5,
Jamavar Doha,4.5,390,0,0,0,5,
SMAT Restaurant,4.5,851,0,0,0,5,
MURU,4.6,164,0,0,0,5,
Lucia's Doha,4.2,670,0,0,0,5,
Sora Rooftop,4.5,364,0,0,0,5,
Nac Doha,4.4,717,0,0,0,5,
Dar Yema Restaurant,4.7,204,0,0,0,5,
Mr. & Mrs. Hawker,4.7,173,0,0,0,5,
Millie’s Lounge,4.4,217,0,0,0,5,
Mosavali Doha,4.7,176,0,0,0,5,
Hoppers Doha,4.5,293,0,0,0,5,
COYA Doha,4.5,439,0,0,0,5,
Kai's Songbird,4.6,307,0,0,0,5,
Era Restaurant & Cafe,4.3,499,0,0,0,5,
"IZU at Mandarin Oriental, Doha",4.4,824,0,0,0,5,
CICCHETTI ITALIAN RESTAURANT,4.1,238,0,0,0,5,
Nobu Doha,4.4,1958,0,0,0,5,
Spuntino,4.6,70,0,0,0,5,
Al Hubara Restaurant,4.6,209,0,0,0,5,
Chicago Rare,4.3,112,0,0,0,5,
La Spiga by Papermoon,4.5,660,0,0,0,5,
Spice Market,4.4,953,0,0,0,5,
Iksha360,4.5,795,0,0,0,5,
Al Nahham Restaurant,4.4,465,0,0,0,5,
Curiosa by Jean-Georges,4.6,167,0,0,0,5,
Planet Hollywood Doha,4.4,185,0,0,0,5,
Sritubtim Restaurant,5,170,0,0,0,5,
Thalatheen,4.6,245,0,0,0,5,
Wild & The Moon,4.7,124,0,0,0,5,
La Veranda,4.4,637,0,0,0,5,
Gymkhana Qatar,4.4,509,0,0,0,5,
Zaoq and Ziafat,4.5,896,0,0,0,5,
Saasna,4.4,991,0,0,0,5,
Rex Restaurant,4.3,264,0,0,0,5,
